R2 score

+-------------------+------------------+--------------+-------------+---------------+
| обучение образцы  | тестовые образцы | Угол нашивки |  Layer Size | Number Layers |
|        +0.99      |       -2.49      |          0   |        21   |       15      |
|        +0.99      |       -2.37      |         90   |        21   |       16      |
|        +0.99      |       -1.65      |          0   |        21   |       16      |
|        +0.99      |       -1.45      |         90   |        21   |       17      |
|        +1.00      |       -1.66      |          0   |        21   |       17      |
|        +0.99      |       -2.03      |         90   |        21   |       18      |
|        +0.98      |       -1.39      |          0   |        21   |       18      |
|        +0.98      |       -1.75      |         90   |        21   |       19      |
|        +0.99      |       -1.99      |          0   |        21   |       19      |
|        +0.99      |       -1.99      |         90   |        21   |       20      |
|        +0.98      |       -1.63      |          0   |        21   |       20      |
|        +0.96      |       -1.59      |         90   |        21   |       21      |
|        +0.96      |       -2.24      |          0   |        21   |       21      |
|        +0.98      |       -1.43      |         90   |        21   |       22      |
|        +0.97      |       -0.84      |          0   |        21   |       22      |
|        +0.98      |       -1.57      |         90   |        21   |       23      |
|        +0.99      |       -1.82      |          0   |        21   |       23      |
|        +0.98      |       -1.23      |         90   |        21   |       24      |
|        +0.54      |       -1.47      |          0   |        21   |       24      |
|        +0.96      |       -1.77      |         90   |        21   |       25      |
|        +0.97      |       -1.55      |          0   |        21   |       25      |
|        +0.98      |       -1.14      |         90   |        21   |       26      |
|        +0.97      |       -1.61      |          0   |        21   |       26      |
|        +0.99      |       -1.77      |         90   |        21   |       27      |
|        +0.97      |       -1.91      |          0   |        21   |       27      |
|        +0.99      |       -1.00      |         90   |        21   |       28      |
|        +0.99      |       -2.46      |          0   |        21   |       28      |
|        -0.00      |       -0.05      |         90   |        21   |       29      |
|        -0.01      |       -0.15      |          0   |        21   |       29      |
|        -0.06      |       -0.00      |         90   |        21   |       30      |
|        -0.02      |       -0.18      |          0   |        21   |       30      |
|        -0.00      |       -0.05      |         90   |        21   |       31      |
|        -0.00      |       -0.08      |          0   |        21   |       31      |
|        +0.95      |       -1.21      |         90   |        21   |       32      |
|        +0.58      |       -1.28      |          0   |        21   |       32      |
|        +0.95      |       -1.86      |         90   |        21   |       33      |
|        -0.04      |       -0.01      |          0   |        21   |       33      |
